Date,Actual,Predicted
2015-03-25,[36.55954742],37.20523475646973
2015-03-26,[36.58609009],37.40370643615723
2015-03-27,[36.61263657],36.66282794952392
2015-03-30,[37.05513382],37.5355729675293
2015-03-31,[36.67457962],37.13375099182129
2015-04-01,[36.62149429],37.35371913909912
2015-04-02,[36.61263657],36.91146697998047
2015-04-06,[36.96664047],37.29163902282715
2015-04-07,[36.88698578],37.099257469177246
2015-04-08,[37.00202179],37.105501594543455
2015-04-09,[37.09938812],37.251454010009766
2015-04-10,[37.24100113],37.3141064453125
2015-04-13,[37.13477707],37.02120754241943
2015-04-14,[37.01973724],37.09196285247803
2015-04-15,[37.34719086],37.16775035858154
2015-04-16,[37.21443939],37.209326362609865
2015-04-17,[36.70112991],37.14652912139893
2015-04-20,[37.32948685],37.121627197265624
2015-04-21,[37.31179047],37.21077800750732
2015-04-22,[37.69232941],37.30934875488281
2015-04-23,[37.84280014],37.568932342529294
2015-04-24,[38.17024612],37.73213066101074
2015-04-27,[38.2764473],37.915802841186526
2015-04-28,[38.40034103],38.16003833770752
2015-04-29,[38.21448517],37.96491241455078
2015-04-30,[37.68348312],37.38426582336426
2015-05-01,[38.14369965],37.66578483581543
2015-05-04,[38.17908859],37.90553802490234
2015-05-05,[37.58614349],37.80198760986328
2015-05-06,[37.26754379],37.80827518463135
2015-05-07,[37.54188538],37.807038116455075
2015-05-08,[38.08172989],37.753670082092285
2015-05-11,[37.887043],37.62720165252686
2015-05-12,[37.68348312],37.77995681762695
2015-05-13,[37.84280014],37.76995372772217
2015-05-14,[38.45344925],37.939963493347165
2015-05-15,[38.3295517],37.85172729492187
2015-05-18,[38.5153923],38.186618156433106
2015-05-19,[38.41804123],38.317065734863284
2015-05-20,[38.44459152],38.147584457397464
2015-05-21,[38.61273956],37.95536331176758
2015-05-22,[38.58618164],38.42122718811035
2015-05-26,[38.02865219],37.74694458007812
2015-05-27,[38.74549484],37.91288143157959
2015-05-28,[38.66583252],38.254669647216794
2015-05-29,[38.38263321],37.98333225250244
2015-06-01,[38.4888382],38.29874057769776
2015-06-02,[38.40918732],38.536625938415526
2015-06-03,[38.4888382],38.36069110870361
2015-06-04,[38.13484955],38.09005878448486
2015-06-05,[38.01094055],38.25564476013184
2015-06-08,[37.58614349],37.854123229980466
2015-06-09,[37.49762726],37.86190837860107
2015-06-10,[38.08172989],37.9087202835083
2015-06-11,[38.09944916],38.205902366638185
2015-06-12,[37.76313019],37.9693482208252
2015-06-15,[37.53303528],37.913057250976564
2015-06-16,[37.78083801],38.04147373199463
2015-06-17,[37.79853439],37.83287799835205
2015-06-18,[38.13484955],37.839071388244626
2015-06-19,[37.81748199],37.84553237915039
2015-06-22,[38.12862015],38.0417679977417
2015-06-23,[38.1552887],38.049985542297364
2015-06-24,[37.97748947],38.03426399230957
2015-06-25,[37.88859177],38.02528381347656
2015-06-26,[37.56855774],38.106162796020506
2015-06-29,[36.76847076],37.68926330566406
2015-06-30,[36.80403519],37.36667381286621
2015-07-01,[37.05295181],37.297097816467286
2015-07-02,[37.10628128],37.21078960418701
2015-07-06,[36.9551506],37.314405250549314
2015-07-07,[37.00849533],37.30958892822266
2015-07-08,[36.40395737],37.0679056930542
2015-07-09,[36.26174545],36.69751136779785
2015-07-10,[36.83958817],36.875824432373044
2015-07-13,[37.39965057],36.97936206817627
2015-07-14,[37.54188919],37.13863735198974
2015-07-15,[37.55077744],37.220220947265624
2015-07-16,[38.03083038],37.3440620803833
2015-07-17,[38.61755371],37.67316951751709
2015-07-20,[38.82202911],38.14398178100586
2015-07-21,[38.56422043],38.45602424621582
2015-07-22,[37.94193268],38.35865074157715
2015-07-23,[37.86192322],37.951497077941895
2015-07-24,[37.65746307],37.232173652648925
2015-07-27,[37.31964874],37.509130210876464
2015-07-28,[37.65746307],37.69852771759033
2015-07-29,[37.90637207],38.13256469726562
2015-07-30,[37.97748947],37.91725410461426
2015-07-31,[37.85303497],37.89081462860108
2015-08-03,[37.64855576],37.882370185852054
2015-08-04,[37.42631531],37.67816593170166
2015-08-05,[37.79081345],37.6877681350708
2015-08-06,[37.41743469],36.92288536071777
2015-08-07,[37.44409943],36.88029880523682
2015-08-10,[38.03083038],37.67283657073975
2015-08-11,[37.46187973],37.613805313110355
2015-08-12,[37.63079453],37.62438774108887
2015-08-13,[37.52410507],37.6880419921875
2015-08-14,[37.71080399],37.73426498413086
2015-08-17,[37.92415237],37.67204116821289
2015-08-18,[37.72858047],37.601627807617184
2015-08-19,[37.47965622],37.549267616271976
2015-08-20,[36.56401062],37.35724723815918
2015-08-21,[35.16830444],37.44401397705078
2015-08-24,[33.78146744],35.97141216278076
2015-08-25,[33.51478577],35.41329727172852
2015-08-26,[35.20384979],35.54398258209228
2015-08-27,[36.02172089],36.09044033050537
2015-08-28,[36.09281921],36.049457206726075
2015-08-31,[35.76392365],35.95867874145508
2015-09-01,[34.61711502],35.76693920135498
2015-09-02,[35.45277405],35.956467361450194
2015-09-03,[35.47945023],35.73599956512451
2015-09-04,[34.93714142],35.20287796020508
